No.,Time,Source,Destination,Protocol,Length,Info
1386,"2025-01-12 20:57:25,586144",192.168.1.1,192.168.1.21,DNS,1108,Standard query response 0xfd30 A music.youtube.com CNAME youtube-ui.l.google.com A 142.251.141.46 A 142.251.140.14 A 142.250.187.142 A 172.217.169.142 A 216.58.212.14 A 172.217.169.174 A 172.217.20.78 A 172.217.17.142 A 172.217.169.110 A 142.250.187.110 A 216.58.212.46 A 142.251.140.78 A 142.251.140.46 A 172.217.17.110 A 216.58.213.110 A 142.250.187.174 NS j.root-servers.net NS c.root-servers.net NS g.root-servers.net NS e.root-servers.net NS a.root-servers.net NS h.root-servers.net NS l.root-servers.net NS m.root-servers.net NS b.root-servers.net NS d.root-servers.net NS k.root-servers.net NS i.root-servers.net NS f.root-servers.net A 198.97.190.53 AAAA 2001:500:1::53 A 199.7.83.42 AAAA 2001:500:9f::42 A 192.36.148.17 AAAA 2001:7fe::53 A 198.41.0.4 A 192.5.5.241 AAAA 2001:500:2f::f A 199.7.91.13 AAAA 2001:500:2d::d A 192.112.36.4 AAAA 2001:500:12::d0d A 170.247.170.2 AAAA 2801:1b8:10::b A 202.12.27.33 A 192.203.230.10 AAAA 2001:500:a8::e A 192.58.128.30 AAAA 2001:503:c27::2:30 A 193.0.14.129 AAAA 2001:7fd::1 A 192.33.4.12 AAAA 2001:500:2::c
8352,"2025-01-12 20:57:43,949145",192.168.1.21,142.250.82.208,UDP,1220,55959  >  3478 Len=1178
5418,"2025-01-12 20:57:37,800126",192.168.1.21,142.250.82.208,UDP,1234,55959  >  3478 Len=1192
1406,"2025-01-12 20:57:25,592967",192.168.1.21,142.251.141.46,QUIC,1292,"Initial, DCID=9daa38ce6afaf9db, PKN: 1, CRYPTO"
810,"2025-01-12 20:57:24,388683",192.168.1.21,142.250.82.208,UDP,1192,55959  >  3478 Len=1150
2030,"2025-01-12 20:57:27,750881",192.168.1.21,142.250.82.212,UDP,160,58101  >  3478 Len=118
7627,"2025-01-12 20:57:42,194205",142.250.82.212,192.168.1.21,UDP,271,3478  >  58101 Len=229
3059,"2025-01-12 20:57:32,551106",192.168.1.21,142.250.82.212,UDP,259,58101  >  3478 Len=217
198,"2025-01-06 10:31:39,853953",fe80::a843:56ff:fe87:1d3c,ff02::fb,MDNS,311,"Standard query response 0x0000 PTR, cache flush Android-3.local PTR, cache flush Android-3.local A, cache flush 138.38.13.110 AAAA, cache flush fe80::a843:56ff:fe87:1d3c NSEC, cache flush 110.13.38.138.in-addr.arpa NSEC, cache flush C.3.D.1.7.8.E.F.F.F.6.5.3.4.8.A.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-3.local"
8532,"2025-01-12 20:57:44,242117",192.168.1.21,142.250.82.208,UDP,1238,55959  >  3478 Len=1196
1703,"2025-01-12 20:57:26,662146",142.250.82.212,192.168.1.21,UDP,91,3478  >  58101 Len=49
7291,"2025-01-12 20:57:41,631160",192.168.1.21,142.250.82.212,UDP,253,58101  >  3478 Len=211
5028,"2025-01-12 20:57:36,941589",192.168.1.21,142.250.82.208,UDP,1217,55959  >  3478 Len=1175
7088,"2025-01-12 20:57:40,871554",192.168.1.21,142.250.82.212,UDP,253,58101  >  3478 Len=211
4100,"2025-01-12 20:57:35,092488",192.168.1.21,142.250.82.208,UDP,1232,55959  >  3478 Len=1190
3350,"2025-01-12 20:57:33,359160",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
4111,"2025-01-12 20:57:35,132464",192.168.1.21,142.250.82.208,UDP,1234,55959  >  3478 Len=1192
3820,"2025-01-12 20:57:34,446212",192.168.1.21,142.250.82.208,UDP,1213,55959  >  3478 Len=1171
1881,"2025-01-12 20:57:27,019126",192.168.1.21,142.250.82.208,UDP,1209,55959  >  3478 Len=1167
6915,"2025-01-12 20:57:40,591407",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
5764,"2025-01-12 20:57:38,530771",192.168.1.21,142.250.82.208,UDP,1173,55959  >  3478 Len=1131
9460,"2025-01-12 20:57:46,038973",142.250.82.208,192.168.1.21,RTCP,122,Application specific   subtype=13
7192,"2025-01-12 20:57:41,271367",192.168.1.21,142.250.82.212,UDP,254,58101  >  3478 Len=212
5607,"2025-01-12 20:57:38,209412",192.168.1.21,142.250.82.208,UDP,1105,55959  >  3478 Len=1063
8117,"2025-01-12 20:57:43,260415",142.250.82.212,192.168.1.21,UDP,162,3478  >  58101 Len=120
3376,"2025-01-12 20:57:33,374265",142.250.82.208,192.168.1.21,RTCP,158,Application specific   subtype=13
6792,"2025-01-12 20:57:40,429372",192.168.1.21,142.250.82.208,UDP,1243,55959  >  3478 Len=1201
8560,"2025-01-12 20:57:44,286776",192.168.1.21,142.250.82.208,UDP,1238,55959  >  3478 Len=1196
3266,"2025-01-12 20:57:33,244303",192.168.1.21,142.250.82.208,UDP,1230,55959  >  3478 Len=1188
1047,"2025-01-12 20:57:24,974951",192.168.1.21,142.250.82.208,UDP,1254,55959  >  3478 Len=1212
4599,"2025-01-12 20:57:36,163412",192.168.1.21,142.250.82.208,UDP,1076,55959  >  3478 Len=1034
4574,"2025-01-12 20:57:36,119232",192.168.1.21,142.250.82.208,RTCP,142,Sender Report   
6450,"2025-01-12 20:57:39,854185",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
1569,"2025-01-12 20:57:25,889484",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
463,"2025-01-12 20:57:23,572624",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164
744,"2025-01-12 20:57:24,196993",192.168.1.21,142.250.82.208,UDP,1212,55959  >  3478 Len=1170
223,"2025-01-12 20:57:23,064748",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181
6264,"2025-01-12 20:57:39,451844",192.168.1.21,142.250.82.208,UDP,1207,55959  >  3478 Len=1165
4908,"2025-01-12 20:57:36,735110",192.168.1.21,142.250.82.208,UDP,1174,55959  >  3478 Len=1132
2426,"2025-01-12 20:57:29,538971",192.168.1.21,104.16.102.112,TLSv1.2,133,Application Data
626,"2025-01-12 20:57:23,964216",142.250.82.212,192.168.1.21,RTCP,106,Application specific   subtype=13
10369,"2025-01-12 20:57:47,891342",142.250.82.212,192.168.1.21,RTCP,106,Application specific   subtype=13
8580,"2025-01-12 20:57:44,287813",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
2178,"2025-01-12 20:57:28,290583",142.251.141.46,192.168.1.21,UDP,190,443  >  51681 Len=148
3617,"2025-01-12 20:57:33,975840",142.250.82.208,192.168.1.21,RTCP,114,Application specific   subtype=13Unknown   
4804,"2025-01-12 20:57:36,532411",192.168.1.21,142.250.82.208,UDP,1237,55959  >  3478 Len=1195
5863,"2025-01-12 20:57:38,711164",142.250.82.212,192.168.1.21,UDP,250,3478  >  58101 Len=208
7067,"2025-01-12 20:57:40,753759",192.168.1.21,142.250.82.208,UDP,1196,55959  >  3478 Len=1154
5413,"2025-01-12 20:57:37,800020",192.168.1.21,142.250.82.208,UDP,1233,55959  >  3478 Len=1191
4639,"2025-01-12 20:57:36,260030",192.168.1.21,142.250.82.208,UDP,1204,55959  >  3478 Len=1162
354,"2025-01-12 20:57:23,343802",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
10463,"2025-01-12 20:57:48,031634",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186
457,"2025-01-12 20:57:23,542944",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156
4068,"2025-01-12 20:57:35,044644",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
8,"2025-01-06 10:31:34,275069",138.38.28.14,34.36.216.150,TCP,55,56432  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1
240,"2025-01-12 20:57:23,099167",192.168.1.21,142.250.82.208,UDP,1244,55959  >  3478 Len=1202
3072,"2025-01-12 20:57:32,611143",192.168.1.21,142.250.82.212,UDP,251,58101  >  3478 Len=209
9478,"2025-01-12 20:57:46,092087",192.168.1.21,142.250.82.212,UDP,163,58101  >  3478 Len=121
10036,"2025-01-12 20:57:47,201641",192.168.1.21,142.250.82.208,UDP,1168,55959  >  3478 Len=1126
6121,"2025-01-12 20:57:39,210666",192.168.1.21,142.250.82.208,UDP,1210,55959  >  3478 Len=1168
4769,"2025-01-12 20:57:36,493432",192.168.1.21,142.250.82.212,UDP,90,58101  >  3478 Len=48
8098,"2025-01-12 20:57:43,200092",192.168.1.21,142.250.82.208,UDP,1219,55959  >  3478 Len=1177
1019,"2025-01-12 20:57:24,919248",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
5793,"2025-01-12 20:57:38,548943",192.168.1.21,142.250.82.208,UDP,1236,55959  >  3478 Len=1194
7423,"2025-01-12 20:57:41,818143",142.250.82.212,192.168.1.21,UDP,91,3478  >  58101 Len=49
1761,"2025-01-12 20:57:26,837656",192.168.1.21,142.250.82.208,UDP,1233,55959  >  3478 Len=1191
5023,"2025-01-12 20:57:36,903638",142.250.82.212,192.168.1.21,UDP,87,3478  >  58101 Len=45
9602,"2025-01-12 20:57:46,350123",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209
9279,"2025-01-12 20:57:45,695378",192.168.1.21,142.250.82.208,UDP,1216,55959  >  3478 Len=1174
1104,"2025-01-12 20:57:25,106534",192.168.1.21,142.250.82.208,UDP,992,55959  >  3478 Len=950
8984,"2025-01-12 20:57:44,876647",192.168.1.21,142.250.82.208,UDP,1153,55959  >  3478 Len=1111
6682,"2025-01-12 20:57:40,307371",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
3910,"2025-01-12 20:57:34,614901",192.168.1.21,142.250.82.208,UDP,1199,55959  >  3478 Len=1157
121,"2025-01-06 10:31:37,396106",138.38.28.14,192.168.1.201,TCP,54,57071  >  53 [ACK] Seq=41 Ack=57 Win=65280 Len=0
2923,"2025-01-12 20:57:32,103377",192.168.1.21,142.250.82.208,RTCP,142,Sender Report   
10019,"2025-01-12 20:57:47,164960",192.168.1.21,142.250.82.208,UDP,1097,55959  >  3478 Len=1055
10093,"2025-01-12 20:57:47,301384",192.168.1.21,142.250.82.208,UDP,1237,55959  >  3478 Len=1195
10292,"2025-01-12 20:57:47,748154",192.168.1.21,142.250.82.208,UDP,1138,55959  >  3478 Len=1096
3583,"2025-01-12 20:57:33,861593",192.168.1.21,142.250.82.208,UDP,1195,55959  >  3478 Len=1153
3783,"2025-01-12 20:57:34,345878",192.168.1.21,142.250.82.208,UDP,1248,55959  >  3478 Len=1206
8819,"2025-01-12 20:57:44,572106",192.168.1.21,142.250.82.208,UDP,1221,55959  >  3478 Len=1179
9201,"2025-01-12 20:57:45,488475",142.250.82.212,192.168.1.21,RTCP,106,Application specific   subtype=13
5457,"2025-01-12 20:57:37,901670",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183
1035,"2025-01-12 20:57:24,940520",192.168.1.21,142.250.82.208,UDP,1199,55959  >  3478 Len=1157
5323,"2025-01-12 20:57:37,594964",192.168.1.21,142.250.82.208,UDP,1231,55959  >  3478 Len=1189
7747,"2025-01-12 20:57:42,485403",192.168.1.21,142.250.82.208,UDP,1252,55959  >  3478 Len=1210
3932,"2025-01-12 20:57:34,649418",192.168.1.21,142.250.82.208,UDP,1191,55959  >  3478 Len=1149
4460,"2025-01-12 20:57:35,846600",192.168.1.21,142.250.82.208,UDP,1245,55959  >  3478 Len=1203
907,"2025-01-12 20:57:24,669190",192.168.1.21,142.250.82.208,UDP,1202,55959  >  3478 Len=1160
6622,"2025-01-12 20:57:40,181000",192.168.1.21,142.250.82.212,DTLSv1.2,219,Application Data
7489,"2025-01-12 20:57:41,974878",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186
7705,"2025-01-12 20:57:42,412001",192.168.1.21,142.250.82.208,UDP,1129,55959  >  3478 Len=1087
4013,"2025-01-12 20:57:34,923316",192.168.1.21,142.250.82.208,UDP,1218,55959  >  3478 Len=1176
6959,"2025-01-12 20:57:40,634328",192.168.1.21,142.250.82.208,UDP,1241,55959  >  3478 Len=1199
2287,"2025-01-12 20:57:28,763159",142.250.82.212,192.168.1.21,UDP,180,3478  >  58101 Len=138
7283,"2025-01-12 20:57:41,625946",192.168.1.21,142.250.82.208,UDP,1165,55959  >  3478 Len=1123
4310,"2025-01-12 20:57:35,509396",192.168.1.21,142.250.82.208,UDP,1210,55959  >  3478 Len=1168
208,"2025-01-06 10:31:41,081538",ChongqingFug_47:d5:57,Broadcast,ARP,56,Who has 169.254.169.254? Tell 138.38.28.39
9910,"2025-01-12 20:57:46,856751",192.168.1.21,142.250.82.208,UDP,1181,55959  >  3478 Len=1139
3211,"2025-01-12 20:57:33,151023",192.168.1.21,142.250.82.212,UDP,253,58101  >  3478 Len=211
5426,"2025-01-12 20:57:37,830472",142.250.82.208,192.168.1.21,RTCP,138,Application specific   subtype=13Full Intra-frame Request (H.261)   
3544,"2025-01-12 20:57:33,793439",192.168.1.21,142.250.82.208,UDP,1185,55959  >  3478 Len=1143
5071,"2025-01-12 20:57:37,112001",192.168.1.21,142.250.82.208,UDP,1131,55959  >  3478 Len=1089
5999,"2025-01-12 20:57:38,936654",192.168.1.21,142.250.82.208,UDP,1135,55959  >  3478 Len=1093
7054,"2025-01-12 20:57:40,738872",192.168.1.21,142.250.82.208,UDP,1165,55959  >  3478 Len=1123
3687,"2025-01-12 20:57:34,182809",142.250.82.212,192.168.1.21,UDP,180,3478  >  58101 Len=138
1902,"2025-01-12 20:57:27,090498",192.168.1.21,142.250.82.208,UDP,1126,55959  >  3478 Len=1084
3245,"2025-01-12 20:57:33,207928",192.168.1.21,142.250.82.208,UDP,1062,55959  >  3478 Len=1020
9729,"2025-01-12 20:57:46,530337",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
1570,"2025-01-12 20:57:25,889494",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
6424,"2025-01-12 20:57:39,783004",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182
348,"2025-01-12 20:57:23,337923",192.168.1.21,142.250.82.208,RTCP,118,Sender Report   
1243,"2025-01-12 20:57:25,353827",192.168.1.21,142.250.82.208,UDP,1252,55959  >  3478 Len=1210
421,"2025-01-12 20:57:23,440210",192.168.1.21,142.250.82.208,UDP,1214,55959  >  3478 Len=1172
8278,"2025-01-12 20:57:43,712424",192.168.1.21,142.250.82.208,UDP,1245,55959  >  3478 Len=1203
2760,"2025-01-12 20:57:31,521838",142.250.82.212,192.168.1.21,RTCP,110,Application specific   subtype=13
7045,"2025-01-12 20:57:40,731021",192.168.1.21,142.250.82.212,UDP,253,58101  >  3478 Len=211
8183,"2025-01-12 20:57:43,406197",192.168.1.21,142.250.82.208,UDP,1215,55959  >  3478 Len=1173
7611,"2025-01-12 20:57:42,145858",192.168.1.21,142.250.82.208,UDP,1110,55959  >  3478 Len=1068
9532,"2025-01-12 20:57:46,193117",172.217.20.78,192.168.1.21,UDP,299,443  >  50272 Len=257
1032,"2025-01-12 20:57:24,940379",192.168.1.21,142.250.82.208,UDP,1199,55959  >  3478 Len=1157
8469,"2025-01-12 20:57:44,159771",192.168.1.21,142.250.82.208,UDP,1248,55959  >  3478 Len=1206
2895,"2025-01-12 20:57:31,986593",192.168.1.21,142.250.82.208,UDP,1144,55959  >  3478 Len=1102
7780,"2025-01-12 20:57:42,540315",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
4930,"2025-01-12 20:57:36,769367",192.168.1.21,142.250.82.208,UDP,1209,55959  >  3478 Len=1167
6126,"2025-01-12 20:57:39,222522",142.250.82.212,192.168.1.21,UDP,253,3478  >  58101 Len=211
764,"2025-01-12 20:57:24,197555",192.168.1.21,142.250.82.208,UDP,1213,55959  >  3478 Len=1171
8772,"2025-01-12 20:57:44,497901",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
7414,"2025-01-12 20:57:41,790400",192.168.1.21,142.250.82.208,RTCP,118,Sender Report   
9677,"2025-01-12 20:57:46,431272",192.168.1.21,142.250.82.208,UDP,1248,55959  >  3478 Len=1206
1223,"2025-01-12 20:57:25,353330",192.168.1.21,142.250.82.208,UDP,1252,55959  >  3478 Len=1210
6077,"2025-01-12 20:57:39,148208",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
2135,"2025-01-12 20:57:28,115227",192.168.1.21,142.250.82.208,UDP,1194,55959  >  3478 Len=1152
2614,"2025-01-12 20:57:30,713610",192.168.1.21,142.250.82.208,UDP,1216,55959  >  3478 Len=1174
5596,"2025-01-12 20:57:38,174139",192.168.1.21,142.250.82.208,UDP,1143,55959  >  3478 Len=1101
8518,"2025-01-12 20:57:44,241584",192.168.1.21,142.250.82.208,UDP,1250,55959  >  3478 Len=1208
7239,"2025-01-12 20:57:41,483210",142.250.82.208,192.168.1.21,RTCP,110,Application specific   subtype=13AVB RTCP packet (IEEE1733)   [Malformed Packet]
1576,"2025-01-12 20:57:25,889574",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
510,"2025-01-12 20:57:23,680599",192.168.1.21,142.250.82.208,UDP,1255,55959  >  3478 Len=1213
219,"2025-01-06 10:31:43,589340",138.38.28.14,192.0.77.32,TCP,55,57059  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1
9743,"2025-01-12 20:57:46,530969",192.168.1.21,142.250.82.208,UDP,1247,55959  >  3478 Len=1205
2305,"2025-01-12 20:57:28,938792",192.168.1.21,142.250.82.208,UDP,1174,55959  >  3478 Len=1132
7653,"2025-01-12 20:57:42,314500",192.168.1.21,142.250.82.208,UDP,1094,55959  >  3478 Len=1052
9464,"2025-01-12 20:57:46,039539",192.168.1.21,142.250.82.208,UDP,1178,55959  >  3478 Len=1136
10497,"2025-01-12 20:57:48,128815",192.168.1.21,142.250.82.208,UDP,1166,55959  >  3478 Len=1124
1260,"2025-01-12 20:57:25,392508",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
4780,"2025-01-12 20:57:36,511292",192.168.1.21,142.250.82.208,UDP,1257,55959  >  3478 Len=1215
2928,"2025-01-12 20:57:32,113845",192.168.1.21,142.250.82.208,UDP,1252,55959  >  3478 Len=1210
2460,"2025-01-12 20:57:29,714238",104.16.102.112,192.168.1.21,TLSv1.2,137,"Application Data, Application Data"
712,"2025-01-12 20:57:24,123513",192.168.1.21,142.250.82.208,UDP,1238,55959  >  3478 Len=1196
7785,"2025-01-12 20:57:42,540649",192.168.1.21,142.250.82.208,UDP,1240,55959  >  3478 Len=1198
9978,"2025-01-12 20:57:47,026638",192.168.1.21,142.250.82.208,UDP,1153,55959  >  3478 Len=1111
8682,"2025-01-12 20:57:44,403765",192.168.1.21,142.250.82.208,UDP,1249,55959  >  3478 Len=1207
8977,"2025-01-12 20:57:44,837639",142.250.82.212,192.168.1.21,RTCP,110,Application specific   subtype=13
5574,"2025-01-12 20:57:38,139664",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183
1373,"2025-01-12 20:57:25,581981",192.168.1.1,192.168.1.21,TCP,66,"53  >  50994 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=4"
713,"2025-01-12 20:57:24,123533",192.168.1.21,142.250.82.208,UDP,1238,55959  >  3478 Len=1196
5217,"2025-01-12 20:57:37,416845",192.168.1.21,142.250.82.208,UDP,964,55959  >  3478 Len=922
2629,"2025-01-12 20:57:30,812052",192.168.1.21,172.217.20.78,UDP,75,50272  >  443 Len=33
10051,"2025-01-12 20:57:47,235456",192.168.1.21,142.250.82.208,UDP,1250,55959  >  3478 Len=1208
4950,"2025-01-12 20:57:36,778373",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36
8286,"2025-01-12 20:57:43,727200",142.250.82.212,192.168.1.21,UDP,146,3478  >  58101 Len=104
1483,"2025-01-12 20:57:25,725984",192.168.1.21,142.250.82.208,UDP,1238,55959  >  3478 Len=1196
5307,"2025-01-12 20:57:37,572691",192.168.1.21,142.250.82.208,UDP,1246,55959  >  3478 Len=1204
